title,link,description
Non-Symmetric Coded Caching for Location-Dependent Content Delivery. (arXiv:2102.02518v1 [cs.IT]),http://arxiv.org/abs/2102.02518,"<p>Immersive viewing is emerging as the next interface evolution for
human-computer interaction. A truly wireless immersive application necessitates
immense data delivery with ultra-low latency, raising stringent requirements
for next-generation wireless networks. A potential solution for addressing
these requirements is through the efficient usage of in-device storage and
computation capabilities. This paper proposes a novel location-based coded
cache placement and delivery scheme, which leverages the nested code modulation
(NCM) to enable multi-rate multicasting transmission. To provide a uniform
quality of experience in different network locations, we formulate a linear
programming cache allocation problem. Next, based on the users' spatial
realizations, we adopt an NCM based coded delivery algorithm to efficiently
serve a distinct group of users during each transmission. Numerical results
demonstrate that the proposed location-based delivery method significantly
increases transmission efficiency compared to state of the art.
</p>
"
"Koopman Operator Dynamical Models: Learning, Analysis and Control. (arXiv:2102.02522v1 [eess.SY])",http://arxiv.org/abs/2102.02522,"<p>The Koopman operator allows for handling nonlinear systems through a
(globally) linear representation. In general, the operator is
infinite-dimensional - necessitating finite approximations - for which there is
no overarching framework. Although there are principled ways of learning such
finite approximations, they are in many instances overlooked in favor of, often
ill-posed and unstructured methods. Also, Koopman operator theory has
long-standing connections to known system-theoretic and dynamical system
notions that are not universally recognized. Given the former and latter
realities, this work aims to bridge the gap between various concepts regarding
both theory and tractable realizations. Firstly, we review data-driven
representations (both unstructured and structured) for Koopman operator
dynamical models, categorizing various existing methodologies and highlighting
their differences. Furthermore, we provide concise insight into the paradigm's
relation to system-theoretic notions and analyze the prospect of using the
paradigm for modeling control systems. Additionally, we outline the current
challenges and comment on future perspectives.
</p>
"
Efficient adaptive step size control for exponential integrators. (arXiv:2102.02524v1 [math.NA]),http://arxiv.org/abs/2102.02524,"<p>Traditional step size controllers make the tacit assumption that the cost of
a time step is independent of the step size. This is reasonable for explicit
and implicit integrators that use direct solvers. In the context of exponential
integrators, however, an iterative approach, such as Krylov methods or
polynomial interpolation, to compute the action of the required matrix
functions is usually employed. In this case, the assumption of constant cost is
not valid. This is, in particular, a problem for higher-order exponential
integrators, which are able to take relatively large time steps based on
accuracy considerations. In this paper, we consider an adaptive step size
controller for exponential Rosenbrock methods that determines the step size
based on the premise of minimizing computational cost. The largest allowed step
size, given by accuracy considerations, merely acts as a constraint. We test
this approach on a range of nonlinear partial differential equations. Our
results show significant improvements (up to a factor of 4 reduction in the
computational cost) over the traditional step size controller for a wide range
of tolerances.
</p>
"
Improved Communication Efficiency for Distributed Mean Estimation with Side Information. (arXiv:2102.02525v1 [cs.IT]),http://arxiv.org/abs/2102.02525,"<p>In this paper, we consider the distributed mean estimation problem where the
server has access to some side information, e.g., its local computed mean
estimation or the received information sent by the distributed clients at the
previous iterations. We propose a practical and efficient estimator based on an
r-bit Wynzer-Ziv estimator proposed by Mayekar et al., which requires no
probabilistic assumption on the data. Unlike Mayekar's work which only utilizes
side information at the server, our scheme jointly exploits the correlation
between clients' data and server' s side information, and also between data of
different clients. We derive an upper bound of the estimation error of the
proposed estimator. Based on this upper bound, we provide two algorithms on how
to choose input parameters for the estimator. Finally, parameter regions in
which our estimator is better than the previous one are characterized.
</p>
"
Deep Learning for Short-Term Voltage Stability Assessment of Power Systems. (arXiv:2102.02526v1 [eess.SP]),http://arxiv.org/abs/2102.02526,"<p>To fully learn the latent temporal dependencies from post-disturbance system
dynamic trajectories, deep learning is utilized for short-term voltage
stability (STVS) assessment of power systems in this paper. First of all, a
semi-supervised cluster algorithm is performed to obtain class labels of STVS
instances due to the unavailability of reliable quantitative criteria.
Secondly, a long short-term memory (LSTM) based assessment model is built
through learning the time dependencies from the post-disturbance system
dynamics. Finally, the trained assessment model is employed to determine the
systems stability status in real time. The test results on the IEEE 39-bus
system suggest that the proposed approach manages to assess the stability
status of the system accurately and timely. Furthermore, the superiority of the
proposed method over traditional shallow learning-based assessment methods has
also been proved.
</p>
"
FuzzSplore: Visualizing Feedback-Driven Fuzzing Techniques. (arXiv:2102.02527v1 [cs.CR]),http://arxiv.org/abs/2102.02527,"<p>Fuzz Testing techniques are the state of the art in software testing for
security issues nowadays. Their great effectiveness attracted the attention of
researchers and hackers and involved them in developing a lot of new techniques
to improve Fuzz Testing. The evaluation and the cross-comparison of these
techniques is an almost open problem. In this paper, we propose a human-driven
approach to this problem based on information visualization. We developed a
prototype upon the AFL++ fuzzing framework, FuzzSplore, that an analyst can use
to get useful insights about different fuzzing configurations applied to a
specific target in order to choose or tune the best technique during a fuzzing
campaign.
</p>
"
On the Global Optimality of Whittle's index policy for minimizing the age of information. (arXiv:2102.02528v1 [cs.IT]),http://arxiv.org/abs/2102.02528,"<p>This paper examines the average age minimization problem where only a
fraction of the network users can transmit simultaneously over unreliable
channels. Finding the optimal scheduling scheme, in this case, is known to be
challenging. Accordingly, the Whittle's index policy was proposed in the
literature as a low-complexity heuristic to the problem. Although simple to
implement, characterizing this policy's performance is recognized to be a
notoriously tricky task. In the sequel, we provide a new mathematical approach
to establish its optimality in the many-users regime for specific network
settings. Our novel approach is based on intricate techniques, and unlike
previous works in the literature, it is free of any mathematical assumptions.
These findings showcase that the Whittle's index policy has analytically
provable asymptotic optimality for the AoI minimization problem. Finally, we
lay out numerical results that corroborate our theoretical findings and
demonstrate the policy's notable performance in the many-users regime.
</p>
"
ABCNet: Attentive Bilateral Contextual Network for Efficient Semantic Segmentation of Fine-Resolution Remote Sensing Images. (arXiv:2102.02531v1 [cs.CV]),http://arxiv.org/abs/2102.02531,"<p>Semantic segmentation of remotely sensed images plays a crucial role in
precision agriculture, environmental protection, and economic assessment. In
recent years, substantial fine-resolution remote sensing images are available
for semantic segmentation. However, due to the complicated information caused
by the increased spatial resolution, state-of-the-art deep learning algorithms
normally utilize complex network architectures for segmentation, which usually
incurs high computational complexity. Specifically, the high-caliber
performance of the convolutional neural network (CNN) heavily relies on
fine-grained spatial details (fine resolution) and sufficient contextual
information (large receptive fields), both of which trigger high computational
costs. This crucially impedes their practicability and availability in
real-world scenarios that require real-time processing. In this paper, we
propose an Attentive Bilateral Contextual Network (ABCNet), a convolutional
neural network (CNN) with double branches, with prominently lower computational
consumptions compared to the cutting-edge algorithms, while maintaining a
competitive accuracy. Code is available at https://github.com/lironui/ABCNet.
</p>
"
Deep Learning Based Model Identification System Exploits the Modular Structure of a Bio-Inspired Posture Control Model for Humans and Humanoids. (arXiv:2102.02536v1 [cs.LG]),http://arxiv.org/abs/2102.02536,"<p>This work presents a system identification procedure based on Convolutional
Neural Networks (CNN) for human posture control using the DEC (Disturbance
Estimation and Compensation) parametric model. The modular structure of the
proposed control model inspired the design of a modular identification
procedure, in the sense that the same neural network is used to identify the
parameters of the modules controlling different degrees of freedom. In this way
the presented examples of body sway induced by external stimuli provide several
training samples at once
</p>
"
Accurate numerical simulation of electrodiffusion and water movement in brain tissue. (arXiv:2102.02539v1 [math.NA]),http://arxiv.org/abs/2102.02539,"<p>Mathematical modelling of ionic electrodiffusion and water movement is
emerging as a powerful avenue of investigation to provide new physiological
insight into brain homeostasis. However, in order to provide solid answers and
resolve controversies, the accuracy of the predictions is essential. Ionic
electrodiffusion models typically comprise non-trivial systems of non-linear
and highly coupled partial and ordinary differential equations that govern
phenomena on disparate time scales. Here, we study numerical challenges related
to approximating these systems. We consider a homogenized model for
electrodiffusion and osmosis in brain tissue and present and evaluate different
associated finite element-based splitting schemes in terms of their numerical
properties, including accuracy, convergence, and computational efficiency for
both idealized scenarios and for the physiologically relevant setting of
cortical spreading depression (CSD). We find that the schemes display optimal
convergence rates in space for problems with smooth manufactured solutions.
However, the physiological CSD setting is challenging: we find that the
accurate computation of CSD wave characteristics (wave speed and wave width)
requires a very fine spatial and fine temporal resolution.
</p>
"
On Fading Channel Dependency Structures with a Positive Zero-Outage Capacity. (arXiv:2102.02541v1 [cs.IT]),http://arxiv.org/abs/2102.02541,"<p>With emerging technologies like 6G, many new applications like autonomous
systems evolve which have strict demands on the reliability of data
communications. In this work, we consider a system with multiple slowly fading
channels that constitute a diversity system. We show that the joint
distribution of the fading coefficients has a tremendous impact on the outage
performance of a communication system. In particular, we investigate the
zero-outage capacity (ZOC) and characterize the joint fading distributions with
a strictly positive ZOC. Interestingly, the set of joint distributions, that
lead to positive ZOCs, is larger than a singleton in general. We also derive
expressions for the maximum ZOC with respect to all possible joint
distributions for selection combining (SC) as diversity combining technique at
the receiver. For maximum ratio combining (MRC), we characterize the maximum
ZOC within a finite number of bits. Finally, the results are evaluated
explicitly for the special cases of Rayleigh fading and Nakagami-$m$ fading in
order to quantify the ZOCs for common fading models.
</p>
"
The Importance of Models in Data Analysis with Small Human Movement Datasets -- Inspirations from Neurorobotics Applied to Posture Control of Humanoids and Humans. (arXiv:2102.02543v1 [cs.RO]),http://arxiv.org/abs/2102.02543,"<p>This work presents a system identification procedure based on Convolutional
Neural Networks (CNN) for human posture control using the DEC (Disturbance
Estimation and Compensation) parametric model. The modular structure of the
proposed control model inspired the design of a modular identification
procedure, in the sense that the same neural network is used to identify the
parameters of the modules controlling different degrees of freedom. In this way
the presented examples of body sway induced by external stimuli provide several
training samples at once.
</p>
"
"Decoding Reed-Solomon codes by solving a bilinear system with a Gr\""obner basis approach. (arXiv:2102.02544v1 [cs.IT])",http://arxiv.org/abs/2102.02544,"<p>Decoding a Reed-Solomon code can be modeled by a bilinear system which can be
solved by Gr\""obner basis techniques. We will show that in this particular
case, these techniques are much more efficient than for generic bilinear
systems with the same number of unknowns and equations (where these techniques
have exponential complexity). Here we show that they are able to solve the
problem in polynomial time up to the Sudan radius. Moreover, beyond this radius
these techniques recover automatically polynomial identities that are at the
heart of improvements of the power decoding approach for reaching the Johnson
decoding radius. They also allow to derive new polynomial identities that can
be used to derive new algebraic decoding algorithms for Reed-Solomon codes. We
provide numerical evidence that this sometimes allows to correct efficiently
slightly more errors than the Johnson radius.
</p>
"
CHEF: Cross-modal Hierarchical Embeddings for Food Domain Retrieval. (arXiv:2102.02547v1 [cs.CV]),http://arxiv.org/abs/2102.02547,"<p>Despite the abundance of multi-modal data, such as image-text pairs, there
has been little effort in understanding the individual entities and their
different roles in the construction of these data instances. In this work, we
endeavour to discover the entities and their corresponding importance in
cooking recipes automaticall} as a visual-linguistic association problem. More
specifically, we introduce a novel cross-modal learning framework to jointly
model the latent representations of images and text in the food image-recipe
association and retrieval tasks. This model allows one to discover complex
functional and hierarchical relationships between images and text, and among
textual parts of a recipe including title, ingredients and cooking
instructions. Our experiments show that by making use of efficient
tree-structured Long Short-Term Memory as the text encoder in our computational
cross-modal retrieval framework, we are not only able to identify the main
ingredients and cooking actions in the recipe descriptions without explicit
supervision, but we can also learn more meaningful feature representations of
food recipes, appropriate for challenging cross-modal retrieval and recipe
adaption tasks.
</p>
"
Dual-embedding based Neural Collaborative Filtering for Recommender Systems. (arXiv:2102.02549v1 [cs.IR]),http://arxiv.org/abs/2102.02549,"<p>Among various recommender techniques, collaborative filtering (CF) is the
most successful one. And a key problem in CF is how to represent users and
items. Previous works usually represent a user (an item) as a vector of latent
factors (aka. \textit{embedding}) and then model the interactions between users
and items based on the representations. Despite its effectiveness, we argue
that it's insufficient to yield satisfactory embeddings for collaborative
filtering. Inspired by the idea of SVD++ that represents users based on
themselves and their interacted items, we propose a general collaborative
filtering framework named DNCF, short for Dual-embedding based Neural
Collaborative Filtering, to utilize historical interactions to enhance the
representation. In addition to learning the primitive embedding for a user (an
item), we introduce an additional embedding from the perspective of the
interacted items (users) to augment the user (item) representation. Extensive
experiments on four publicly datasets demonstrated the effectiveness of our
proposed DNCF framework by comparing its performance with several traditional
matrix factorization models and other state-of-the-art deep learning based
recommender models.
</p>
"
ML-Doctor: Holistic Risk Assessment of Inference Attacks Against Machine Learning Models. (arXiv:2102.02551v1 [cs.CR]),http://arxiv.org/abs/2102.02551,"<p>Inference attacks against Machine Learning (ML) models allow adversaries to
learn information about training data, model parameters, etc. While researchers
have studied these attacks thoroughly, they have done so in isolation. We lack
a comprehensive picture of the risks caused by the attacks, such as the
different scenarios they can be applied to, the common factors that influence
their performance, the relationship among them, or the effectiveness of defense
techniques. In this paper, we fill this gap by presenting a first-of-its-kind
holistic risk assessment of different inference attacks against machine
learning models. We concentrate on four attacks - namely, membership inference,
model inversion, attribute inference, and model stealing - and establish a
threat model taxonomy. Our extensive experimental evaluation conducted over
five model architectures and four datasets shows that the complexity of the
training dataset plays an important role with respect to the attack's
performance, while the effectiveness of model stealing and membership inference
attacks are negatively correlated. We also show that defenses like DP-SGD and
Knowledge Distillation can only hope to mitigate some of the inference attacks.
Our analysis relies on a modular re-usable software, ML-Doctor, which enables
ML model owners to assess the risks of deploying their models, and equally
serves as a benchmark tool for researchers and practitioners.
</p>
"
Decoding of Space-Symmetric Rank Errors. (arXiv:2102.02554v1 [cs.IT]),http://arxiv.org/abs/2102.02554,"<p>This paper investigates the decoding of certain Gabidulin codes that were
transmitted over a channel with space-symmetric errors. Space-symmetric errors
are additive error matrices that have the property that their column and row
spaces are equal. We show that for channels restricted to space-symmetric
errors, with high probability errors of rank up to 2(n-k)/3 can be decoded with
a Gabidulin code of length n and dimension k, using a weak-self orthogonal
basis as code locators.
</p>
"
Adaptive Semiparametric Language Models. (arXiv:2102.02557v1 [cs.CL]),http://arxiv.org/abs/2102.02557,"<p>We present a language model that combines a large parametric neural network
(i.e., a transformer) with a non-parametric episodic memory component in an
integrated architecture. Our model uses extended short-term context by caching
local hidden states -- similar to transformer-XL -- and global long-term memory
by retrieving a set of nearest neighbor tokens at each timestep. We design a
gating function to adaptively combine multiple information sources to make a
prediction. This mechanism allows the model to use either local context,
short-term memory, or long-term memory (or any combination of them) on an ad
hoc basis depending on the context. Experiments on word-based and
character-based language modeling datasets demonstrate the efficacy of our
proposed method compared to strong baselines.
</p>
"
"Evolutionary Multitask Optimization: a Methodological Overview, Challenges and Future Research Directions. (arXiv:2102.02558v1 [cs.NE])",http://arxiv.org/abs/2102.02558,"<p>In this work we consider multitasking in the context of solving multiple
optimization problems simultaneously by conducting a single search process. The
principal goal when dealing with this scenario is to dynamically exploit the
existing complementarities among the problems (tasks) being optimized, helping
each other through the exchange of valuable knowledge. Additionally, the
emerging paradigm of Evolutionary Multitasking tackles multitask optimization
scenarios by using as inspiration concepts drawn from Evolutionary Computation.
The main purpose of this survey is to collect, organize and critically examine
the abundant literature published so far in Evolutionary Multitasking, with an
emphasis on the methodological patterns followed when designing new algorithmic
proposals in this area (namely, multifactorial optimization and
multipopulation-based multitasking). We complement our critical analysis with
an identification of challenges that remain open to date, along with promising
research directions that can stimulate future efforts in this topic. Our
discussions held throughout this manuscript are offered to the audience as a
reference of the general trajectory followed by the community working in this
field in recent times, as well as a self-contained entry point for newcomers
and researchers interested to join this exciting research avenue.
</p>
"
An efficient linear programming rounding-and-refinement algorithm for large-scale network slicing problem. (arXiv:2102.02563v1 [cs.NI]),http://arxiv.org/abs/2102.02563,"<p>In this paper, we consider the network slicing problem which attempts to map
multiple customized virtual network requests (also called services) to a common
shared network infrastructure and allocate network resources to meet diverse
service requirements, and propose an efficient two-stage algorithm for solving
this NP-hard problem. In the first stage, the proposed algorithm uses an
iterative linear programming (LP) rounding procedure to place the virtual
network functions of all services into cloud nodes while taking traffic routing
of all services into consideration; in the second stage, the proposed algorithm
uses an iterative LP refinement procedure to obtain a solution for traffic
routing of all services with their end-to-end delay constraints being
satisfied. Compared with the existing algorithms which either have an
exponential complexity or return a low-quality solution, our proposed algorithm
achieves a better trade-off between solution quality and computational
complexity. In particular, the worst-case complexity of our proposed algorithm
is polynomial, which makes it suitable for solving large-scale problems.
Numerical results demonstrate the effectiveness and efficiency of our proposed
algorithm.
</p>
"
Incremental Beam Manipulation for Natural Language Generation. (arXiv:2102.02574v1 [cs.CL]),http://arxiv.org/abs/2102.02574,"<p>The performance of natural language generation systems has improved
substantially with modern neural networks. At test time they typically employ
beam search to avoid locally optimal but globally suboptimal predictions.
However, due to model errors, a larger beam size can lead to deteriorating
performance according to the evaluation metric. For this reason, it is common
to rerank the output of beam search, but this relies on beam search to produce
a good set of hypotheses, which limits the potential gains. Other alternatives
to beam search require changes to the training of the model, which restricts
their applicability compared to beam search. This paper proposes incremental
beam manipulation, i.e. reranking the hypotheses in the beam during decoding
instead of only at the end. This way, hypotheses that are unlikely to lead to a
good final output are discarded, and in their place hypotheses that would have
been ignored will be considered instead. Applying incremental beam manipulation
leads to an improvement of 1.93 and 5.82 BLEU points over vanilla beam search
for the test sets of the E2E and WebNLG challenges respectively. The proposed
method also outperformed a strong reranker by 1.04 BLEU points on the E2E
challenge, while being on par with it on the WebNLG dataset.
</p>
"
Exploring Scale-Measures of Data Sets. (arXiv:2102.02576v1 [cs.AI]),http://arxiv.org/abs/2102.02576,"<p>Measurement is a fundamental building block of numerous scientific models and
their creation. This is in particular true for data driven science. Due to the
high complexity and size of modern data sets, the necessity for the development
of understandable and efficient scaling methods is at hand. A profound theory
for scaling data is scale-measures, as developed in the field of formal concept
analysis. Recent developments indicate that the set of all scale-measures for a
given data set constitutes a lattice and does hence allow efficient exploring
algorithms. In this work we study the properties of said lattice and propose a
novel scale-measure exploration algorithm that is based on the well-known and
proven attribute exploration approach. Our results motivate multiple
applications in scale recommendation, most prominently (semi-)automatic
scaling.
</p>
"
Regenerating Soft Robots through Neural Cellular Automata. (arXiv:2102.02579v1 [cs.NE]),http://arxiv.org/abs/2102.02579,"<p>Morphological regeneration is an important feature that highlights the
environmental adaptive capacity of biological systems. Lack of this
regenerative capacity significantly limits the resilience of machines and the
environments they can operate in. To aid in addressing this gap, we develop an
approach for simulated soft robots to regrow parts of their morphology when
being damaged. Although numerical simulations using soft robots have played an
important role in their design, evolving soft robots with regenerative
capabilities have so far received comparable little attention. Here we propose
a model for soft robots that regenerate through a neural cellular automata.
Importantly, this approach only relies on local cell information to regrow
damaged components, opening interesting possibilities for physical regenerable
soft robots in the future. Our approach allows simulated soft robots that are
damaged to partially regenerate their original morphology through local cell
interactions alone and regain some of their ability to locomote. These results
take a step towards equipping artificial systems with regenerative capacities
and could potentially allow for more robust operations in a variety of
situations and environments. The code for the experiments in this paper is
available at: \url{github.com/KazuyaHoribe/RegeneratingSoftRobots}.
</p>
"
Parallelware Tools: An Experimental Evaluation on POWER Systems. (arXiv:2102.02582v1 [cs.DC]),http://arxiv.org/abs/2102.02582,"<p>Static code analysis tools are designed to aid software developers to build
better quality software in less time, by detecting defects early in the
software development life cycle. Even the most experienced developer regularly
introduces coding defects. Identifying, mitigating and resolving defects is an
essential part of the software development process, but frequently defects can
go undetected. One defect can lead to a minor malfunction or cause serious
security and safety issues. This is magnified in the development of the complex
parallel software required to exploit modern heterogeneous multicore hardware.
Thus, there is an urgent need for new static code analysis tools to help in
building better concurrent and parallel software. The paper reports preliminary
results about the use of Appentra's Parallelware technology to address this
problem from the following three perspectives: finding concurrency issues in
the code, discovering new opportunities for parallelization in the code, and
generating parallel-equivalent codes that enable tasks to run faster. The paper
also presents experimental results using well-known scientific codes and POWER
systems.
</p>
"
Optimizing Blockchain Based Smart Grid Auctions: A Green Revolution. (arXiv:2102.02583v1 [cs.CR]),http://arxiv.org/abs/2102.02583,"<p>Integrating blockchain with energy trading is a new paradigm for researchers
working in the field of smart grid. In energy trading, auction theory plays an
important role to ensure truthfulness, rationality, and to balance utility of
participants. However, traditional energy auctions cannot directly be
integrated in blockchain based auctions due to the decentralized nature.
Therefore, researches are being carried out to propose more efficient
decentralized auctions for energy trading. Despite of all these advances, a
greater standpoint that is not well-highlighted or discussed in majority of
proposed mechanisms is the integration of green aspect in these auctions.
Since, blockchain is a novel paradigm to ensure trust but it also comes up with
a curse of high computation and communication complexity which eventually
causes resource scarcity. Therefore, there is a need to develop and encourage
development of more green auctions to carry out decentralised energy trading.
In this paper, we first provide a thorough motivation of decentralized auctions
over traditional auctions. Afterwards, we provide in-depth design requirements
that can be taken into consideration while developing such auctions. After
that, we analyse technical works that have developed blockchain based energy
auctions from green perspective. Finally, we summarize the article by providing
challenges and possible future research directions of blockchain based energy
auction from green viewpoint.
</p>
"
Human Values in Software Release Planning. (arXiv:2102.02584v1 [cs.SE]),http://arxiv.org/abs/2102.02584,"<p>Software products have become an integral part of human lives, and therefore
need to account for human values such as privacy, fairness, and equality.
Ignoring human values in software development leads to biases and violations of
human values: racial biases in recidivism assessment and facial recognition
software are well-known examples of such issues. One of the most critical steps
in software development is Software Release Planning (SRP), where decisions are
made about the presence or absence of the requirements (features) in the
software. Such decisions are primarily guided by the economic value of the
requirements, ignoring their impacts on a broader range of human values. That
may result in ignoring (selecting) requirements that positively (negatively)
impact human values, increasing the risk of value breaches in the software. To
address this, we have proposed an Integer Programming approach to considering
human values in software release planning. In this regard, an Integer Linear
Programming (ILP) model has been proposed, that explicitly accounts for human
values in finding an ""optimal"" subset of the requirements. The ILP model
exploits the algebraic structure of fuzzy graphs to capture dependencies and
conflicts among the values of the requirements.
</p>
"
One Size Does Not Fit All: Finding the Optimal N-gram Sizes for FastText Models across Languages. (arXiv:2102.02585v1 [cs.CL]),http://arxiv.org/abs/2102.02585,"<p>Unsupervised word representation learning from large corpora is badly needed
for downstream tasks such as text classification, information retrieval, and
machine translation. The representation precision of the fastText language
models is mostly due to their use of subword information. In previous work, the
optimization of fastText subword sizes has been largely neglected, and
non-English fastText language models were trained using subword sizes optimized
for English and German.
</p>
<p>In our work, we train English, German, Czech, and Italian fastText language
models on Wikipedia, and we optimize the subword sizes on the English, German,
Czech, and Italian word analogy tasks. We show that the optimization of subword
sizes results in a 5% improvement on the Czech word analogy task. We also show
that computationally expensive hyperparameter optimization can be replaced with
cheap $n$-gram frequency analysis: subword sizes that are the closest to
covering 3.76% of all unique subwords in a language are shown to be the optimal
fastText hyperparameters on the English, German, Czech, and Italian word
analogy tasks.
</p>
"
Temporal Cascade and Structural Modelling of EHRs for Granular Readmission Prediction. (arXiv:2102.02586v1 [cs.LG]),http://arxiv.org/abs/2102.02586,"<p>Predicting (1) when the next hospital admission occurs and (2) what will
happen in the next admission about a patient by mining electronic health record
(EHR) data can provide granular readmission predictions to assist clinical
decision making. Recurrent neural network (RNN) and point process models are
usually employed in modelling temporal sequential data. Simple RNN models
assume that sequences of hospital visits follow strict causal dependencies
between consecutive visits. However, in the real-world, a patient may have
multiple co-existing chronic medical conditions, i.e., multimorbidity, which
results in a cascade of visits where a non-immediate historical visit can be
most influential to the next visit. Although a point process (e.g., Hawkes
process) is able to model a cascade temporal relationship, it strongly relies
on a prior generative process assumption. We propose a novel model, MEDCAS, to
address these challenges. MEDCAS combines the strengths of RNN-based models and
point processes by integrating point processes in modelling visit types and
time gaps into an attention-based sequence-to-sequence learning model, which is
able to capture the temporal cascade relationships. To supplement the patients
with short visit sequences, a structural modelling technique with graph-based
methods is used to construct the markers of the point process in MEDCAS.
Extensive experiments on three real-world EHR datasets have been performed and
the results demonstrate that \texttt{MEDCAS} outperforms state-of-the-art
models in both tasks.
</p>
"
Lookup subnet based Spatial Graph Convolutional neural Network. (arXiv:2102.02588v1 [cs.LG]),http://arxiv.org/abs/2102.02588,"<p>Convolutional Neural Networks(CNNs) has achieved remarkable performance
breakthrough in Euclidean structure data. Recently, aggregation-transformation
based Graph Neural networks(GNNs) gradually produce a powerful performance on
non-Euclidean data. In this paper, we propose a cross-correlation based graph
convolution method allowing to naturally generalize CNNs to non-Euclidean
domains and inherit the excellent natures of CNNs, such as local filters,
parameter sharing, flexible receptive field, etc. Meanwhile, it leverages
dynamically generated convolution kernel and cross-correlation operators to
address the shortcomings of prior methods based on aggregation-transformation
or their approximations. Our method has achieved or matched popular
state-of-the-art results across three established graph benchmarks: the Cora,
Citeseer, and Pubmed citation network datasets.
</p>
"
Mean-field control variate methods for kinetic equations with uncertainties and applications to socio-economic sciences. (arXiv:2102.02589v1 [math.NA]),http://arxiv.org/abs/2102.02589,"<p>In this paper, we extend a recently introduced multi-fidelity control variate
for the uncertainty quantification of the Boltzmann equation to the case of
kinetic models arising in the study of multiagent systems. For these phenomena,
where the effect of uncertainties is particularly evident, several models have
been developed whose equilibrium states are typically unknown. In particular,
we aim to develop efficient numerical methods based on solving the kinetic
equations in the phase space by Direct Simulation Monte Carlo (DSMC) coupled to
a Monte Carlo sampling in the random space. To this end, exploiting the
knowledge of the corresponding mean-field approximation we develop novel
mean-field Control Variate (MFCV) methods that are able to strongly reduce the
variance of the standard Monte Carlo sampling method in the random space. We
verify these observations with several numerical examples based on classical
models , including wealth exchanges and opinion formation model for collective
phenomena.
</p>
"
A Faster Algorithm for Finding Closest Pairs in Hamming Metric. (arXiv:2102.02597v1 [cs.DS]),http://arxiv.org/abs/2102.02597,"<p>We study the Closest Pair Problem in Hamming metric, which asks to find the
pair with the smallest Hamming distance in a collection of binary vectors. We
give a new randomized algorithm for the problem on uniformly random input
outperforming previous approaches whenever the dimension of input points is
small compared to the dataset size. For moderate to large dimensions, our
algorithm matches the time complexity of the previously best-known locality
sensitive hashing based algorithms. Technically our algorithm follows similar
design principles as Dubiner (IEEE Trans. Inf. Theory 2010) and May-Ozerov
(Eurocrypt 2015). Besides improving the time complexity in the aforementioned
areas, we significantly simplify the analysis of these previous works. We give
a modular analysis, which allows us to investigate the performance of the
algorithm also on non-uniform input distributions. Furthermore, we give a proof
of concept implementation of our algorithm which performs well in comparison to
a quadratic search baseline. This is the first step towards answering an open
question raised by May and Ozerov regarding the practicability of algorithms
following these design principles.
</p>
"
VSEGAN: Visual Speech Enhancement Generative Adversarial Network. (arXiv:2102.02599v1 [eess.AS]),http://arxiv.org/abs/2102.02599,"<p>Speech enhancement is an essential task of improving speech quality in noise
scenario. Several state-of-the-art approaches have introduced visual
information for speech enhancement,since the visual aspect of speech is
essentially unaffected by acoustic environment. This paper proposes a novel
frameworkthat involves visual information for speech enhancement, by
in-corporating a Generative Adversarial Network (GAN). In par-ticular, the
proposed visual speech enhancement GAN consistof two networks trained in
adversarial manner, i) a generator that adopts multi-layer feature fusion
convolution network to enhance input noisy speech, and ii) a discriminator that
attemptsto minimize the discrepancy between the distributions of the clean
speech signal and enhanced speech signal. Experiment re-sults demonstrated
superior performance of the proposed modelagainst several state-of-the-art
</p>
"
A formalization of Dedekind domains and class groups of global fields. (arXiv:2102.02600v1 [cs.LO]),http://arxiv.org/abs/2102.02600,"<p>Dedekind domains and their class groups are notions in commutative algebra
that are essential in algebraic number theory. We formalized these structures
and several fundamental properties, including number theoretic finiteness
results for class groups, in the Lean prover as part of the mathlib
mathematical library. This paper describes the formalization process, noting
the idioms we found useful in our development and mathlib's decentralized
collaboration processes involved in this project.
</p>
"
